Plug Flow Rate (m^3 s^-1),Slip Flow Rate (m^3 s^-1)
6.795206042125155e-11,8.133826900745688e-12
6.795206042125155e-11,6.913752865633834e-12
6.795206042125155e-11,5.693678830521982e-12
6.795206042125155e-11,4.4736047954101284e-12
6.795206042125155e-11,3.2535307602982756e-12
6.795206042125155e-11,2.0334567251864224e-12
6.795206042125155e-11,8.133826900745687e-13
6.795206042125155e-11,8.07516968656042e-12
6.795206042125155e-11,6.863894233576357e-12
6.795206042125155e-11,5.652618780592294e-12
6.795206042125155e-11,4.441343327608231e-12
6.795206042125155e-11,3.230067874624168e-12
6.795206042125155e-11,2.0187924216401054e-12
6.795206042125155e-11,8.075169686560418e-13
6.795206042125155e-11,8.016724742149041e-12
6.795206042125155e-11,6.8142160308266854e-12
6.795206042125155e-11,5.611707319504329e-12
6.795206042125155e-11,4.409198608181973e-12
6.795206042125155e-11,3.2066898968596168e-12
6.795206042125155e-11,2.0041811855372607e-12
6.795206042125155e-11,8.016724742149041e-13
6.795206042125155e-11,7.958492067511555e-12
6.795206042125155e-11,6.764718257384821e-12
6.795206042125155e-11,5.570944447258089e-12
6.795206042125155e-11,4.377170637131356e-12
6.795206042125155e-11,3.183396827004622e-12
6.795206042125155e-11,1.9896230168778892e-12
6.795206042125155e-11,7.958492067511555e-13
6.795206042125155e-11,7.900471662647959e-12
6.795206042125155e-11,6.715400913250765e-12
6.795206042125155e-11,5.5303301638535724e-12
6.795206042125155e-11,4.345259414456378e-12
6.795206042125155e-11,3.1601886650591843e-12
6.795206042125155e-11,1.97511791566199e-12
6.795206042125155e-11,7.900471662647959e-13
6.795206042125155e-11,7.842663527558256e-12
6.795206042125155e-11,6.666263998424518e-12
6.795206042125155e-11,5.489864469290779e-12
6.795206042125155e-11,4.31346494015704e-12
6.795206042125155e-11,3.1370654110233023e-12
6.795206042125155e-11,1.9606658818895643e-12
6.795206042125155e-11,7.842663527558255e-13
6.795206042125155e-11,7.785067662242442e-12
6.795206042125155e-11,6.617307512906077e-12
6.795206042125155e-11,5.44954736356971e-12
6.795206042125155e-11,4.281787214233343e-12
6.795206042125155e-11,3.1140270648969773e-12
6.795206042125155e-11,1.946266915560611e-12
6.795206042125155e-11,7.785067662242442e-13
6.51713022870936e-11,8.133826900745688e-12
6.51713022870936e-11,6.913752865633834e-12
6.51713022870936e-11,5.693678830521982e-12
6.51713022870936e-11,4.4736047954101284e-12
6.51713022870936e-11,3.2535307602982756e-12
6.51713022870936e-11,2.0334567251864224e-12
6.51713022870936e-11,8.133826900745687e-13
6.51713022870936e-11,8.07516968656042e-12
6.51713022870936e-11,6.863894233576357e-12
6.51713022870936e-11,5.652618780592294e-12
6.51713022870936e-11,4.441343327608231e-12
6.51713022870936e-11,3.230067874624168e-12
6.51713022870936e-11,2.0187924216401054e-12
6.51713022870936e-11,8.075169686560418e-13
6.51713022870936e-11,8.016724742149041e-12
6.51713022870936e-11,6.8142160308266854e-12
6.51713022870936e-11,5.611707319504329e-12
6.51713022870936e-11,4.409198608181973e-12
6.51713022870936e-11,3.2066898968596168e-12
6.51713022870936e-11,2.0041811855372607e-12
6.51713022870936e-11,8.016724742149041e-13
6.51713022870936e-11,7.958492067511555e-12
6.51713022870936e-11,6.764718257384821e-12
6.51713022870936e-11,5.570944447258089e-12
6.51713022870936e-11,4.377170637131356e-12
6.51713022870936e-11,3.183396827004622e-12
6.51713022870936e-11,1.9896230168778892e-12
6.51713022870936e-11,7.958492067511555e-13
6.51713022870936e-11,7.900471662647959e-12
6.51713022870936e-11,6.715400913250765e-12
6.51713022870936e-11,5.5303301638535724e-12
6.51713022870936e-11,4.345259414456378e-12
6.51713022870936e-11,3.1601886650591843e-12
6.51713022870936e-11,1.97511791566199e-12
6.51713022870936e-11,7.900471662647959e-13
6.51713022870936e-11,7.842663527558256e-12
6.51713022870936e-11,6.666263998424518e-12
6.51713022870936e-11,5.489864469290779e-12
6.51713022870936e-11,4.31346494015704e-12
6.51713022870936e-11,3.1370654110233023e-12
6.51713022870936e-11,1.9606658818895643e-12
6.51713022870936e-11,7.842663527558255e-13
6.51713022870936e-11,7.785067662242442e-12
6.51713022870936e-11,6.617307512906077e-12
6.51713022870936e-11,5.44954736356971e-12
6.51713022870936e-11,4.281787214233343e-12
6.51713022870936e-11,3.1140270648969773e-12
6.51713022870936e-11,1.946266915560611e-12
6.51713022870936e-11,7.785067662242442e-13
6.200308104001177e-11,8.133826900745688e-12
6.200308104001177e-11,6.913752865633834e-12
6.200308104001177e-11,5.693678830521982e-12
6.200308104001177e-11,4.4736047954101284e-12
6.200308104001177e-11,3.2535307602982756e-12
6.200308104001177e-11,2.0334567251864224e-12
6.200308104001177e-11,8.133826900745687e-13
