Yield Stress (Pa),Slip Yield Stress (Pa),Beta
10000.0,1000.0,1e-10
10000.0,1000.0,8.5e-11
10000.0,1000.0,7e-11
10000.0,1000.0,5.5000000000000004e-11
10000.0,1000.0,4.0000000000000004e-11
10000.0,1000.0,2.5000000000000004e-11
10000.0,1000.0,1e-11
10000.0,2500.0,1e-10
10000.0,2500.0,8.5e-11
10000.0,2500.0,7e-11
10000.0,2500.0,5.5000000000000004e-11
10000.0,2500.0,4.0000000000000004e-11
10000.0,2500.0,2.5000000000000004e-11
10000.0,2500.0,1e-11
10000.0,4000.0,1e-10
10000.0,4000.0,8.5e-11
10000.0,4000.0,7e-11
10000.0,4000.0,5.5000000000000004e-11
10000.0,4000.0,4.0000000000000004e-11
10000.0,4000.0,2.5000000000000004e-11
10000.0,4000.0,1e-11
10000.0,5500.0,1e-10
10000.0,5500.0,8.5e-11
10000.0,5500.0,7e-11
10000.0,5500.0,5.5000000000000004e-11
10000.0,5500.0,4.0000000000000004e-11
10000.0,5500.0,2.5000000000000004e-11
10000.0,5500.0,1e-11
10000.0,7000.0,1e-10
10000.0,7000.0,8.5e-11
10000.0,7000.0,7e-11
10000.0,7000.0,5.5000000000000004e-11
10000.0,7000.0,4.0000000000000004e-11
10000.0,7000.0,2.5000000000000004e-11
10000.0,7000.0,1e-11
10000.0,8500.0,1e-10
10000.0,8500.0,8.5e-11
10000.0,8500.0,7e-11
10000.0,8500.0,5.5000000000000004e-11
10000.0,8500.0,4.0000000000000004e-11
10000.0,8500.0,2.5000000000000004e-11
10000.0,8500.0,1e-11
10000.0,10000.0,1e-10
10000.0,10000.0,8.5e-11
10000.0,10000.0,7e-11
10000.0,10000.0,5.5000000000000004e-11
10000.0,10000.0,4.0000000000000004e-11
10000.0,10000.0,2.5000000000000004e-11
10000.0,10000.0,1e-11
25000.0,1000.0,1e-10
25000.0,1000.0,8.5e-11
25000.0,1000.0,7e-11
25000.0,1000.0,5.5000000000000004e-11
25000.0,1000.0,4.0000000000000004e-11
25000.0,1000.0,2.5000000000000004e-11
25000.0,1000.0,1e-11
25000.0,2500.0,1e-10
25000.0,2500.0,8.5e-11
25000.0,2500.0,7e-11
25000.0,2500.0,5.5000000000000004e-11
25000.0,2500.0,4.0000000000000004e-11
25000.0,2500.0,2.5000000000000004e-11
25000.0,2500.0,1e-11
25000.0,4000.0,1e-10
25000.0,4000.0,8.5e-11
25000.0,4000.0,7e-11
25000.0,4000.0,5.5000000000000004e-11
25000.0,4000.0,4.0000000000000004e-11
25000.0,4000.0,2.5000000000000004e-11
25000.0,4000.0,1e-11
25000.0,5500.0,1e-10
25000.0,5500.0,8.5e-11
25000.0,5500.0,7e-11
25000.0,5500.0,5.5000000000000004e-11
25000.0,5500.0,4.0000000000000004e-11
25000.0,5500.0,2.5000000000000004e-11
25000.0,5500.0,1e-11
25000.0,7000.0,1e-10
25000.0,7000.0,8.5e-11
25000.0,7000.0,7e-11
25000.0,7000.0,5.5000000000000004e-11
25000.0,7000.0,4.0000000000000004e-11
25000.0,7000.0,2.5000000000000004e-11
25000.0,7000.0,1e-11
25000.0,8500.0,1e-10
25000.0,8500.0,8.5e-11
25000.0,8500.0,7e-11
25000.0,8500.0,5.5000000000000004e-11
25000.0,8500.0,4.0000000000000004e-11
25000.0,8500.0,2.5000000000000004e-11
25000.0,8500.0,1e-11
25000.0,10000.0,1e-10
25000.0,10000.0,8.5e-11
25000.0,10000.0,7e-11
25000.0,10000.0,5.5000000000000004e-11
25000.0,10000.0,4.0000000000000004e-11
25000.0,10000.0,2.5000000000000004e-11
25000.0,10000.0,1e-11
40000.0,1000.0,1e-10
40000.0,1000.0,8.5e-11
40000.0,1000.0,7e-11
40000.0,1000.0,5.5000000000000004e-11
40000.0,1000.0,4.0000000000000004e-11
40000.0,1000.0,2.5000000000000004e-11
40000.0,1000.0,1e-11
40000.0,2500.0,1e-10
40000.0,2500.0,8.5e-11
40000.0,2500.0,7e-11
40000.0,2500.0,5.5000000000000004e-11
40000.0,2500.0,4.0000000000000004e-11
40000.0,2500.0,2.5000000000000004e-11
40000.0,2500.0,1e-11
40000.0,4000.0,1e-10
40000.0,4000.0,8.5e-11
40000.0,4000.0,7e-11
40000.0,4000.0,5.5000000000000004e-11
40000.0,4000.0,4.0000000000000004e-11
40000.0,4000.0,2.5000000000000004e-11
40000.0,4000.0,1e-11
40000.0,5500.0,1e-10
40000.0,5500.0,8.5e-11
40000.0,5500.0,7e-11
40000.0,5500.0,5.5000000000000004e-11
40000.0,5500.0,4.0000000000000004e-11
40000.0,5500.0,2.5000000000000004e-11
40000.0,5500.0,1e-11
40000.0,7000.0,1e-10
40000.0,7000.0,8.5e-11
40000.0,7000.0,7e-11
40000.0,7000.0,5.5000000000000004e-11
40000.0,7000.0,4.0000000000000004e-11
40000.0,7000.0,2.5000000000000004e-11
40000.0,7000.0,1e-11
40000.0,8500.0,1e-10
40000.0,8500.0,8.5e-11
40000.0,8500.0,7e-11
40000.0,8500.0,5.5000000000000004e-11
40000.0,8500.0,4.0000000000000004e-11
40000.0,8500.0,2.5000000000000004e-11
40000.0,8500.0,1e-11
40000.0,10000.0,1e-10
40000.0,10000.0,8.5e-11
40000.0,10000.0,7e-11
40000.0,10000.0,5.5000000000000004e-11
40000.0,10000.0,4.0000000000000004e-11
40000.0,10000.0,2.5000000000000004e-11
40000.0,10000.0,1e-11
55000.0,1000.0,1e-10
55000.0,1000.0,8.5e-11
55000.0,1000.0,7e-11
55000.0,1000.0,5.5000000000000004e-11
55000.0,1000.0,4.0000000000000004e-11
55000.0,1000.0,2.5000000000000004e-11
55000.0,1000.0,1e-11
55000.0,2500.0,1e-10
55000.0,2500.0,8.5e-11
55000.0,2500.0,7e-11
55000.0,2500.0,5.5000000000000004e-11
55000.0,2500.0,4.0000000000000004e-11
55000.0,2500.0,2.5000000000000004e-11
55000.0,2500.0,1e-11
55000.0,4000.0,1e-10
55000.0,4000.0,8.5e-11
55000.0,4000.0,7e-11
55000.0,4000.0,5.5000000000000004e-11
55000.0,4000.0,4.0000000000000004e-11
55000.0,4000.0,2.5000000000000004e-11
55000.0,4000.0,1e-11
55000.0,5500.0,1e-10
55000.0,5500.0,8.5e-11
55000.0,5500.0,7e-11
55000.0,5500.0,5.5000000000000004e-11
55000.0,5500.0,4.0000000000000004e-11
55000.0,5500.0,2.5000000000000004e-11
55000.0,5500.0,1e-11
55000.0,7000.0,1e-10
55000.0,7000.0,8.5e-11
55000.0,7000.0,7e-11
55000.0,7000.0,5.5000000000000004e-11
55000.0,7000.0,4.0000000000000004e-11
55000.0,7000.0,2.5000000000000004e-11
55000.0,7000.0,1e-11
55000.0,8500.0,1e-10
55000.0,8500.0,8.5e-11
55000.0,8500.0,7e-11
55000.0,8500.0,5.5000000000000004e-11
55000.0,8500.0,4.0000000000000004e-11
55000.0,8500.0,2.5000000000000004e-11
55000.0,8500.0,1e-11
55000.0,10000.0,1e-10
55000.0,10000.0,8.5e-11
55000.0,10000.0,7e-11
55000.0,10000.0,5.5000000000000004e-11
55000.0,10000.0,4.0000000000000004e-11
55000.0,10000.0,2.5000000000000004e-11
55000.0,10000.0,1e-11
70000.0,1000.0,1e-10
70000.0,1000.0,8.5e-11
70000.0,1000.0,7e-11
70000.0,1000.0,5.5000000000000004e-11
70000.0,1000.0,4.0000000000000004e-11
70000.0,1000.0,2.5000000000000004e-11
70000.0,1000.0,1e-11
70000.0,2500.0,1e-10
70000.0,2500.0,8.5e-11
70000.0,2500.0,7e-11
70000.0,2500.0,5.5000000000000004e-11
70000.0,2500.0,4.0000000000000004e-11
70000.0,2500.0,2.5000000000000004e-11
70000.0,2500.0,1e-11
70000.0,4000.0,1e-10
70000.0,4000.0,8.5e-11
70000.0,4000.0,7e-11
70000.0,4000.0,5.5000000000000004e-11
70000.0,4000.0,4.0000000000000004e-11
70000.0,4000.0,2.5000000000000004e-11
70000.0,4000.0,1e-11
70000.0,5500.0,1e-10
70000.0,5500.0,8.5e-11
70000.0,5500.0,7e-11
70000.0,5500.0,5.5000000000000004e-11
70000.0,5500.0,4.0000000000000004e-11
70000.0,5500.0,2.5000000000000004e-11
70000.0,5500.0,1e-11
70000.0,7000.0,1e-10
70000.0,7000.0,8.5e-11
70000.0,7000.0,7e-11
70000.0,7000.0,5.5000000000000004e-11
70000.0,7000.0,4.0000000000000004e-11
70000.0,7000.0,2.5000000000000004e-11
70000.0,7000.0,1e-11
70000.0,8500.0,1e-10
70000.0,8500.0,8.5e-11
70000.0,8500.0,7e-11
70000.0,8500.0,5.5000000000000004e-11
70000.0,8500.0,4.0000000000000004e-11
70000.0,8500.0,2.5000000000000004e-11
70000.0,8500.0,1e-11
70000.0,10000.0,1e-10
70000.0,10000.0,8.5e-11
70000.0,10000.0,7e-11
70000.0,10000.0,5.5000000000000004e-11
70000.0,10000.0,4.0000000000000004e-11
70000.0,10000.0,2.5000000000000004e-11
70000.0,10000.0,1e-11
85000.0,1000.0,1e-10
85000.0,1000.0,8.5e-11
85000.0,1000.0,7e-11
85000.0,1000.0,5.5000000000000004e-11
85000.0,1000.0,4.0000000000000004e-11
85000.0,1000.0,2.5000000000000004e-11
85000.0,1000.0,1e-11
85000.0,2500.0,1e-10
85000.0,2500.0,8.5e-11
85000.0,2500.0,7e-11
85000.0,2500.0,5.5000000000000004e-11
85000.0,2500.0,4.0000000000000004e-11
85000.0,2500.0,2.5000000000000004e-11
85000.0,2500.0,1e-11
85000.0,4000.0,1e-10
85000.0,4000.0,8.5e-11
85000.0,4000.0,7e-11
85000.0,4000.0,5.5000000000000004e-11
85000.0,4000.0,4.0000000000000004e-11
85000.0,4000.0,2.5000000000000004e-11
85000.0,4000.0,1e-11
85000.0,5500.0,1e-10
85000.0,5500.0,8.5e-11
85000.0,5500.0,7e-11
85000.0,5500.0,5.5000000000000004e-11
85000.0,5500.0,4.0000000000000004e-11
85000.0,5500.0,2.5000000000000004e-11
85000.0,5500.0,1e-11
85000.0,7000.0,1e-10
85000.0,7000.0,8.5e-11
85000.0,7000.0,7e-11
85000.0,7000.0,5.5000000000000004e-11
85000.0,7000.0,4.0000000000000004e-11
85000.0,7000.0,2.5000000000000004e-11
85000.0,7000.0,1e-11
85000.0,8500.0,1e-10
85000.0,8500.0,8.5e-11
85000.0,8500.0,7e-11
85000.0,8500.0,5.5000000000000004e-11
85000.0,8500.0,4.0000000000000004e-11
85000.0,8500.0,2.5000000000000004e-11
85000.0,8500.0,1e-11
85000.0,10000.0,1e-10
85000.0,10000.0,8.5e-11
85000.0,10000.0,7e-11
85000.0,10000.0,5.5000000000000004e-11
85000.0,10000.0,4.0000000000000004e-11
85000.0,10000.0,2.5000000000000004e-11
85000.0,10000.0,1e-11
100000.0,1000.0,1e-10
100000.0,1000.0,8.5e-11
100000.0,1000.0,7e-11
100000.0,1000.0,5.5000000000000004e-11
100000.0,1000.0,4.0000000000000004e-11
100000.0,1000.0,2.5000000000000004e-11
100000.0,1000.0,1e-11
100000.0,2500.0,1e-10
100000.0,2500.0,8.5e-11
100000.0,2500.0,7e-11
100000.0,2500.0,5.5000000000000004e-11
100000.0,2500.0,4.0000000000000004e-11
100000.0,2500.0,2.5000000000000004e-11
100000.0,2500.0,1e-11
100000.0,4000.0,1e-10
100000.0,4000.0,8.5e-11
100000.0,4000.0,7e-11
100000.0,4000.0,5.5000000000000004e-11
100000.0,4000.0,4.0000000000000004e-11
100000.0,4000.0,2.5000000000000004e-11
100000.0,4000.0,1e-11
100000.0,5500.0,1e-10
100000.0,5500.0,8.5e-11
100000.0,5500.0,7e-11
100000.0,5500.0,5.5000000000000004e-11
100000.0,5500.0,4.0000000000000004e-11
100000.0,5500.0,2.5000000000000004e-11
100000.0,5500.0,1e-11
100000.0,7000.0,1e-10
100000.0,7000.0,8.5e-11
100000.0,7000.0,7e-11
100000.0,7000.0,5.5000000000000004e-11
100000.0,7000.0,4.0000000000000004e-11
100000.0,7000.0,2.5000000000000004e-11
100000.0,7000.0,1e-11
100000.0,8500.0,1e-10
100000.0,8500.0,8.5e-11
100000.0,8500.0,7e-11
100000.0,8500.0,5.5000000000000004e-11
100000.0,8500.0,4.0000000000000004e-11
100000.0,8500.0,2.5000000000000004e-11
100000.0,8500.0,1e-11
100000.0,10000.0,1e-10
100000.0,10000.0,8.5e-11
100000.0,10000.0,7e-11
100000.0,10000.0,5.5000000000000004e-11
100000.0,10000.0,4.0000000000000004e-11
100000.0,10000.0,2.5000000000000004e-11
100000.0,10000.0,1e-11
10000.0,1000.0,1e-10
10000.0,1000.0,8.5e-11
10000.0,1000.0,7e-11
10000.0,1000.0,5.5000000000000004e-11
10000.0,1000.0,4.0000000000000004e-11
10000.0,1000.0,2.5000000000000004e-11
10000.0,1000.0,1e-11
10000.0,2500.0,1e-10
10000.0,2500.0,8.5e-11
10000.0,2500.0,7e-11
10000.0,2500.0,5.5000000000000004e-11
10000.0,2500.0,4.0000000000000004e-11
10000.0,2500.0,2.5000000000000004e-11
10000.0,2500.0,1e-11
10000.0,4000.0,1e-10
10000.0,4000.0,8.5e-11
10000.0,4000.0,7e-11
10000.0,4000.0,5.5000000000000004e-11
10000.0,4000.0,4.0000000000000004e-11
10000.0,4000.0,2.5000000000000004e-11
10000.0,4000.0,1e-11
10000.0,5500.0,1e-10
10000.0,5500.0,8.5e-11
10000.0,5500.0,7e-11
10000.0,5500.0,5.5000000000000004e-11
10000.0,5500.0,4.0000000000000004e-11
10000.0,5500.0,2.5000000000000004e-11
10000.0,5500.0,1e-11
10000.0,7000.0,1e-10
10000.0,7000.0,8.5e-11
10000.0,7000.0,7e-11
10000.0,7000.0,5.5000000000000004e-11
10000.0,7000.0,4.0000000000000004e-11
10000.0,7000.0,2.5000000000000004e-11
